layer,feature,freq_vqa,freq_vsr,freq_diff,freq_vqa_img,freq_vsr_img,freq_diff_img,odds_ratio,p_adj
0,1093,0.0212,0.077035462876876,0.055835462876876,0.0,0.0,0.0,3.853574696508524,2.2894345338455224e-69
0,1101,0.0033,0.0193916854827998,0.0160916854827998,0.0,0.0,0.0,5.972697310364925,3.2140081535045765e-26
0,1107,0.0094,0.0762385442953911,0.0668385442953911,0.0,0.0,0.0,8.697315569695764,2.3587048728338444e-121
0,1119,0.0134,0.0365254349847257,0.0231254349847257,0.0,0.0,0.0,2.791203206465604,2.0028658772148198e-23
0,1129,0.0059,0.0209855226457696,0.0150855226457696,0.0,0.0,0.0,3.611675622975058,4.938752058624052e-19
0,1131,0.0028,0.0795590383849116,0.0767590383849116,0.0,0.0,0.0,30.7834879406308,1.375895495081327e-183
0,1137,0.0052,0.0440961615088325,0.0388961615088325,0.0,0.0,0.0,8.82508737615032,3.1506280799161773e-71
0,1139,0.0152,0.0863328463275335,0.0711328463275335,0.0,0.0,0.0,6.121988355100573,7.56813778828047e-113
0,1144,0.0168,0.0750431664231637,0.0582431664231637,0.0,0.0,0.0,4.748126418861628,8.881544038291642e-82
0,1147,0.001,0.0193916854827998,0.0183916854827998,0.0,0.0,0.0,19.755383990247868,1.8986436327739103e-41
0,1153,0.0071,0.0361269756939832,0.0290269756939832,0.0,0.0,0.0,5.241540465058506,1.6144812158877193e-43
0,1154,0.0483,0.2374817372825076,0.1891817372825076,0.0,0.0,0.0,6.136671928300413,1.353542927714966e-303
0,1161,0.002,0.0098286625049807,0.0078286625049807,0.0,0.0,0.0,4.953185781354796,1.939160209421188e-12
0,1166,0.0231,0.2289812724133351,0.2058812724133351,0.0,0.0,0.0,12.559523623089516,0.0
0,1176,0.0065,0.0533935449594899,0.0468935449594899,0.0,0.0,0.0,8.621320870794703,4.943260623812363e-85
0,1177,0.0013,1.0,0.9987,0.0,0.0,0.0,inf,0.0
0,1180,0.0045,0.0092973834506574,0.0047973834506574,0.0,0.0,0.0,2.0760900329207077,8.908613099303831e-05
0,1184,0.0124,0.0387833709655996,0.0263833709655996,0.0,0.0,0.0,3.213539739778112,1.2133105367116379e-29
0,1186,0.009,0.0644175853366981,0.0554175853366981,0.0,0.0,0.0,7.581472017161966,6.1036930702202694e-96
0,1191,0.0049,0.0110240403772081,0.0061240403772081,0.0,0.0,0.0,2.263735631238797,3.515047682953757e-06
0,1197,0.0221,0.2052065347323682,0.1831065347323681,0.0,0.0,0.0,11.424549174873569,0.0
0,1199,0.0174,0.0690662770620268,0.0516662770620268,0.0,0.0,0.0,4.189621553897042,1.049046559022127e-67
0,1202,0.0105,0.0220480807544162,0.0115480807544162,0.0,0.0,0.0,2.1246127678288484,1.051275235164888e-09
0,1203,0.0098,0.0268295922433258,0.0170295922433258,0.0,0.0,0.0,2.7856209769290547,1.2511880404040245e-17
0,1208,0.0062,0.0795590383849116,0.0733590383849116,0.0,0.0,0.0,13.854820090303962,5.621529996509232e-152
0,1210,0.0027,0.0560499402311063,0.0533499402311063,0.0,0.0,0.0,21.932502644758166,6.102219375894517e-121
0,1214,0.0048,0.0346659582945942,0.0298659582945942,0.0,0.0,0.0,7.445514584479912,7.708910743465232e-52
