layer,feature,fire_fraction
3,8475,0.2
3,8487,0.54
3,8519,0.082
3,8748,0.585
3,8774,0.33
3,8829,0.705
3,8845,0.26
3,8914,0.615
3,9127,0.727
3,9286,0.593
3,9326,1.0
3,9572,0.167
3,9659,0.557
3,9660,0.559
3,9774,0.141
3,9822,0.532
3,9967,0.11
3,9969,0.985
3,10124,0.119
3,10358,0.48
3,10458,0.178
3,10608,0.27
3,10734,0.31
3,10760,0.407
3,10850,0.823
3,10953,0.385
3,11052,0.193
3,11054,0.606
3,11121,0.595
3,11163,0.386
3,11193,0.53
3,11226,0.609
3,11232,0.298
3,11233,0.18
3,11367,0.035
3,11398,0.672
3,11759,0.36
3,11820,0.153
3,11826,0.456
3,12046,0.195
3,12120,0.528
3,12132,0.798
3,12133,0.219
3,12214,0.164
3,12319,0.791
3,12345,0.245
3,12406,0.178
3,12453,0.651
3,12539,0.994
3,12567,0.053
3,12647,0.776
3,12918,0.542
3,12935,0.541
3,12966,0.605
3,12984,0.295
3,12986,0.225
3,13173,0.085
3,13241,0.992
3,13251,0.755
3,13286,0.29
3,13347,0.414
3,13372,0.232
3,13501,0.523
3,13535,0.94
3,13615,0.6
3,13691,0.127
3,13829,0.895
3,13843,0.867
3,13915,0.38
3,13958,0.87
3,13993,0.035
3,14039,0.315
3,14042,0.376
3,14179,0.803
3,14227,0.424
3,14355,0.035
3,14502,0.728
3,14585,0.12
3,14628,0.45
3,14728,0.175
3,14751,0.789
3,15023,0.09
3,15035,0.674
3,15102,0.423
3,15112,0.4
3,15113,0.015
3,15157,0.984
3,15210,0.335
3,15302,0.887
3,15355,0.396
3,15389,0.231
3,15434,0.73
3,15523,0.966
3,15615,0.204
3,15740,0.292
3,15799,0.784
3,15822,0.385
3,15858,0.388
3,15872,0.27
3,16074,0.33
3,16160,0.512
3,16228,0.175
3,16238,0.413
3,16374,0.204
4,173,0.085
4,385,0.035
4,530,0.568
4,549,0.145
4,598,0.465
4,759,0.115
4,791,0.2
4,972,0.742
4,979,0.245
4,1002,0.282
4,1024,0.15
4,1188,0.078
4,1223,0.015
4,1498,1.0
4,1502,0.644
4,1504,0.129
4,1597,0.199
4,1647,1.0
4,1787,0.13
4,1929,0.107
4,2034,0.666
4,2044,0.232
4,2329,0.843
4,2421,0.132
4,2489,0.532
4,2533,0.3
4,2616,0.166
4,2728,0.354
4,2769,0.952
4,2773,0.127
4,2888,0.647
4,3196,0.05
4,3226,0.558
4,3361,0.055
4,3554,0.158
4,3776,0.544
4,3970,0.416
4,4325,0.5
4,4376,0.336
4,4485,0.351
4,4593,0.126
4,4762,1.0
4,4847,0.951
4,4911,0.39
4,4943,0.985
4,4971,0.317
4,4977,0.232
4,5031,0.183
4,5133,0.015
4,5182,0.478
4,5546,0.191
4,5599,0.075
4,5617,0.23
4,5651,0.573
4,5689,0.06
4,5718,0.518
4,5857,0.04
4,5939,0.06
4,5988,0.245
4,6020,0.07
4,6026,0.994
4,6037,0.288
4,6105,0.411
4,6321,0.231
4,6388,0.843
4,6535,0.189
4,6536,0.128
4,6567,0.03
4,6589,0.896
4,6723,0.554
4,6741,1.0
4,6892,0.841
4,6961,0.545
4,7035,0.971
4,7142,0.286
4,7165,0.484
4,7191,0.425
4,7240,0.18
4,7455,0.587
4,7498,0.132
4,7554,0.952
4,7643,1.0
4,7940,0.295
4,7956,0.344
4,8085,0.673
4,8097,0.753
4,8143,0.015
4,8159,0.035
4,8185,0.187
4,8302,0.26
4,8307,0.445
4,8383,0.197
4,8459,0.02
4,8497,0.15
4,8515,0.234
4,9037,0.06
4,9189,0.049
4,9196,0.832
4,9222,0.544
4,9283,0.249
4,9548,1.0
4,9563,0.245
4,9646,0.57
4,9672,0.373
4,9720,1.0
4,9767,0.083
4,9807,0.085
4,10244,0.234
4,10445,0.394
4,10593,0.351
4,10634,0.393
4,10833,0.251
4,10962,0.315
4,11068,0.105
4,11078,0.119
4,11106,0.045
4,11113,0.335
4,11242,0.916
4,11253,0.415
4,11290,0.152
