layer,feature,c_vqa,n_vqa,c_vsr,n_vsr,odds_ratio,p_raw,freq_vsr,freq_vqa,freq_diff,p_adj
15,13896,9228,1323088,99870,2701355,5.46581878376143,0.0,0.0369703352576762,0.0069745927708512,0.029995742486825,0.0
8,11839,26919,1323088,275156,2701355,5.460787488649225,0.0,0.1018585117468825,0.0203455854788192,0.0815129262680633,0.0
19,10497,3169,1323088,34611,2701355,5.4057737124850265,0.0,0.0128124589326467,0.0023951543661494,0.0104173045664972,0.0
7,9793,10037,1323088,107012,2701355,5.396134394824122,0.0,0.0396141936176474,0.0075860411401206,0.0320281524775267,0.0
7,9881,22849,1323088,233748,2701355,5.390485730766666,0.0,0.0865299081386933,0.017269448441827,0.0692604596968663,0.0
25,13697,37300,1323088,354824,2701355,5.212513921334584,0.0,0.1313503778659228,0.0281916244422139,0.1031587534237088,0.0
6,5096,9570,1323088,98304,2701355,5.183374685920917,0.0,0.0363906261857475,0.0072330789788736,0.0291575472068738,0.0
11,6616,9835,1323088,100541,2701355,5.16188046842723,0.0,0.0372187291192753,0.0074333679997097,0.0297853611195655,0.0
8,5912,10204,1323088,103853,2701355,5.144214409826727,0.0,0.0384447804897912,0.0077122610136287,0.0307325194761625,0.0
4,2649,5114,1323088,52493,2701355,5.107262496659869,0.0,0.0194320998165735,0.0038652001983239,0.0155668996182496,0.0
9,12060,41941,1323088,384665,2701355,5.071949621866084,0.0,0.14239705629212,0.031699327633536,0.1106977286585839,0.0
12,15531,20883,1323088,202180,2701355,5.0446146227441,0.0,0.0748439209211673,0.0157835306495108,0.0590603902716565,0.0
14,15446,20945,1323088,202592,2701355,5.040522308370862,0.0,0.0749964369732967,0.0158303907223102,0.0591660462509865,0.0
8,6122,6130,1323088,61787,2701355,5.028931321417774,0.0,0.022872595419706,0.0046331007461332,0.0182394946735727,0.0
6,10840,23915,1323088,228155,2701355,5.0114956069816925,0.0,0.0844594657125775,0.0180751393709261,0.0663843263416513,0.0
17,15749,4002,1323088,39867,2701355,4.937249454219705,0.0,0.0147581491510741,0.003024742118438,0.0117334070326361,0.0
10,11970,37850,1323088,339017,2701355,4.873007886809777,0.0,0.1254988700115312,0.0286073186364021,0.0968915513751291,0.0
8,3746,5249,1323088,50752,2701355,4.807222893193045,0.0,0.018787608440949,0.0039672342278064,0.0148203742131426,0.0
24,14634,19883,1323088,184475,2701355,4.80403136660308,0.0,0.0682898027101214,0.0150277230237142,0.0532620796864071,0.0
15,7447,3686,1323088,35581,2701355,4.777675279254967,0.0,0.0131715379874174,0.0027859069086863,0.010385631078731,0.0
5,12506,21252,1323088,191968,2701355,4.686165973462658,0.0,0.0710635958620766,0.0160624236634297,0.0550011721986468,0.0
10,11456,12563,1323088,115772,2701355,4.670861637686125,0.0,0.0428570106483598,0.0094952112028829,0.0333617994454768,0.0
8,11308,13878,1323088,127351,2701355,4.667405920730315,0.0,0.0471433780454623,0.0104890982308055,0.0366542798146568,0.0
10,9627,4299,1323088,40418,2701355,4.659594222555489,0.0,0.0149621208615676,0.0032492169832996,0.0117129038782679,0.0
11,6096,7740,1323088,71884,2701355,4.645832611577544,0.0,0.0266103492506538,0.0058499510236658,0.0207603982269879,0.0
9,1183,5097,1323088,47568,2701355,4.634966938369355,0.0,0.0176089406982792,0.0038523514686853,0.0137565892295938,0.0
11,1748,6651,1323088,60552,2701355,4.538429775401839,0.0,0.0224154174479104,0.0050268765191733,0.017388540928737,0.0
13,6809,4544,1323088,41467,2701355,4.523718486494783,0.0,0.0153504444991495,0.0034343898516198,0.0119160546475296,0.0
8,14946,21969,1323088,191072,2701355,4.507970802215386,0.0,0.0707319104671544,0.0166043377311259,0.0541275727360284,0.0
6,6371,5388,1323088,48806,2701355,4.499857482269489,0.0,0.0180672292238524,0.0040722914877921,0.0139949377360602,0.0
11,9639,4494,1323088,40704,2701355,4.48876847173773,0.0,0.015067993655036,0.00339659947033,0.011671394184706,0.0
11,2393,8526,1323088,74352,2701355,4.363830085021472,0.0,0.02752396482506,0.0064440158175419,0.021079949007518,0.0
8,16279,6600,1323088,57743,2701355,4.356869966110187,0.0,0.0213755689274456,0.0049883303302577,0.0163872385971879,0.0
7,1178,8163,1323088,71093,2701355,4.353905678492818,0.0,0.0263175332379491,0.0061696576493778,0.0201478755885712,0.0
10,10009,24205,1323088,202639,2701355,4.351821581612653,0.0,0.0750138356491464,0.0182943235824072,0.0567195120667392,0.0
23,12621,22726,1323088,188736,2701355,4.298029326521971,0.0,0.0698671592589644,0.017176484103854,0.0526906751551104,0.0
21,12621,21925,1323088,182011,2701355,4.287481580117473,0.0,0.0673776678740854,0.0165710821955909,0.0508065856784945,0.0
25,14757,23193,1323088,191386,2701355,4.273592940971397,0.0,0.0708481484292142,0.017529446265101,0.0533187021641132,0.0
9,15439,9771,1323088,83105,2701355,4.266252878299675,0.0,0.0307641905636245,0.0073849963116587,0.0233791942519657,0.0
8,10385,6312,1323088,53983,2701355,4.253896870712987,0.0,0.0199836748594686,0.0047706577340282,0.0152130171254404,0.0
13,10555,27077,1323088,219465,2701355,4.232440708495443,0.0,0.0812425616033435,0.0204650030836951,0.0607775585196483,0.0
18,12082,22235,1323088,180926,2701355,4.199693565093391,0.0,0.0669760175911718,0.0168053825595878,0.0501706350315839,0.0
10,13207,5189,1323088,43891,2701355,4.194754451509828,0.0,0.0162477719514836,0.0039218857702586,0.0123258861812249,0.0
11,2419,6761,1323088,56791,2701355,4.180981904094844,0.0,0.0210231531953408,0.0051100153580109,0.0159131378373299,0.0
20,2163,6388,1323088,53615,2701355,4.173812178823988,0.0,0.0198474469294113,0.0048280991135888,0.0150193478158225,0.0
2,5977,4805,1323088,40423,2701355,4.167830274025103,0.0,0.0149639717845303,0.0036316556419527,0.0113323161425775,0.0
21,1326,5845,1323088,48622,2701355,4.130671543712716,0.0,0.0179991152588238,0.0044176955727812,0.0135814196860425,0.0
10,12725,4540,1323088,37866,2701355,4.128940404777244,0.0,0.0140174097813874,0.0034313666211166,0.0105860431602708,0.0
7,8441,6232,1323088,51611,2701355,4.115752007522149,0.0,0.019105597005947,0.0047101931239645,0.0143954038819824,0.0
11,12860,18925,1323088,151732,2701355,4.101070175334145,0.0,0.0561688485963525,0.014303659318201,0.0418651892781515,0.0
9,5038,4787,1323088,39372,2701355,4.073177656924624,0.0,0.0145749077777633,0.0036180511046884,0.0109568566730749,0.0
18,13772,6190,1323088,50626,2701355,4.063214731666486,0.0,0.0187409651822881,0.004678449203681,0.014062515978607,0.0
8,12735,5474,1323088,44830,2701355,4.061984287610919,0.0,0.0165953752838853,0.0041372909436107,0.0124580843402746,0.0
25,4988,6557,1323088,53238,2701355,4.036551229643979,0.0,0.0197078873380211,0.0049558306023484,0.0147520567356726,0.0
10,1094,5547,1323088,44800,2701355,4.005577833790853,0.0,0.0165842697461088,0.0041924649002938,0.012391804845815,0.0
12,8561,13087,1323088,103259,2701355,3.978361517622093,0.0,0.0382248908418182,0.0098912543988003,0.0283336364430178,0.0
9,3532,5946,1323088,47611,2701355,3.974257217301481,0.0,0.0176248586357587,0.0044940321429867,0.013130826492772,0.0
23,6400,9313,1323088,73833,2701355,3.9640173304024646,0.0,0.027331839021528,0.0070388364190439,0.0202930026024841,0.0
8,7064,7016,1323088,55865,2701355,3.961172432385983,0.0,0.0206803622626422,0.005302746302589,0.0153776159600531,0.0
7,15872,6047,1323088,48221,2701355,3.958551994440085,0.0,0.0178506712372124,0.0045703687131921,0.0132803025240202,0.0
7,2362,8052,1323088,63497,2701355,3.931295323393208,0.0,0.0235056110729615,0.0060857630029143,0.0174198480700471,0.0
4,10823,6691,1323088,52735,2701355,3.917194627814411,0.0,0.0195216844879699,0.0050571088242051,0.0144645756637647,0.0
25,9486,5733,1323088,45053,2701355,3.89732971070888,0.0,0.0166779264480233,0.004333045118692,0.0123448813293312,0.0
24,7247,10771,1323088,82984,2701355,3.861409951824872,0.0,0.0307193982279263,0.0081408039374554,0.0225785942904709,0.0
7,10408,6765,1323088,52507,2701355,3.8570461616651066,0.0,0.0194372824008691,0.0051130385885141,0.014324243812355,0.0
13,35,5486,1323088,42695,2701355,3.856938006720629,0.0,0.0158050311787973,0.0041463606351202,0.011658670543677,0.0
13,10400,6395,1323088,49668,2701355,3.856544889733469,0.0,0.018386328342628,0.0048333897669693,0.0135529385756586,0.0
23,12436,9783,1323088,75436,2701355,3.8564781089299847,0.0,0.027925244923381,0.0073940660031683,0.0205311789202127,0.0
19,13191,7256,1323088,56249,2701355,3.85633625263702,0.0,0.0208225131461803,0.0054841401327802,0.0153383730134,0.0
3,11153,7935,1323088,61081,2701355,3.83430352144444,0.0,0.0226112450973678,0.0059973335106961,0.0166139115866716,0.0
25,8327,4944,1323088,38185,2701355,3.822771152362856,0.0,0.01413549866641,0.0037367129019384,0.0103987857644715,0.0
20,5546,20530,1323088,153212,2701355,3.814846839498904,0.0,0.0567167217933222,0.0155167305576046,0.0411999912357176,0.0
